"Standard_Order","A","B","C","P_bar","T_degC","EtOH_gmin","response"
"1","-1.00","-1.00","-1.00","100.00","40.00","3.00","3.0213"
"2","-1.00","1.00","-1.00","100.00","60.00","3.00","4.56"
"3","1.00","-1.00","-1.00","300.00","40.00","3.00","4.3666"
"4","1.00","1.00","-1.00","300.00","60.00","3.00","5.154"
"5","-1.00","-1.00","1.00","100.00","40.00","9.00","4.1375"
"6","-1.00","1.00","1.00","100.00","60.00","9.00","5.3212"
"7","1.00","-1.00","1.00","300.00","40.00","9.00","5.007"
"8","1.00","1.00","1.00","300.00","60.00","9.00","5.3761"
"9","0.00","0.00","0.00","200.00","50.00","6.00","6.6132"
"10","0.00","0.00","0.00","200.00","50.00","6.00","6.7468"
"11","0.00","0.00","0.00","200.00","50.00","6.00","6.677"
"12","0.00","0.00","0.00","200.00","50.00","6.00","6.6321"
"13","0.00","-1.00","0.00","200.00","40.00","6.00","5.4513"
"14","0.00","1.00","0.00","200.00","60.00","6.00","6.8167"
"15","-1.00","0.00","0.00","100.00","50.00","6.00","4.871"
"16","1.00","0.00","0.00","300.00","50.00","6.00","5.6375"
"17","0.00","0.00","-1.00","200.00","50.00","3.00","5.9912"
"18","0.00","0.00","1.00","200.00","50.00","9.00","6.8118"
"19","0.00","0.00","0.00","200.00","50.00","6.00","6.8456"
"20","0.00","0.00","0.00","200.00","50.00","6.00","6.7211"